a,b,c,l,accu_a,slope_a,accu_b,slope_b,accu_c,slope_c
1.53,1.00,0.00,-1.00,1.00,0.05,1.00,-1.86,nan,0.00
1.53,1.00,0.00,-0.89,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.00,-0.79,1.00,0.05,1.00,-1.86,nan,0.00
1.53,1.00,0.00,-0.68,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.00,-0.58,1.00,0.05,1.00,-0.55,nan,0.00
1.53,1.00,0.00,-0.47,1.00,0.05,1.00,-2.76,nan,0.00
1.53,1.00,0.00,-0.37,1.00,0.05,1.00,-1.86,nan,0.00
1.53,1.00,0.00,-0.26,1.00,0.05,1.00,-1.36,nan,0.00
1.53,1.00,0.00,-0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.00,-0.05,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.00,0.05,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.00,0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.00,0.26,1.00,0.05,0.98,-0.15,nan,0.00
1.53,1.00,0.00,0.37,1.00,-0.05,1.00,0.05,nan,0.00
1.53,1.00,0.00,0.47,1.00,-0.15,0.98,-0.05,nan,0.00
1.53,1.00,0.00,0.58,1.00,0.05,1.00,-0.05,1.00,-10.00
1.53,1.00,0.00,0.68,1.00,0.05,1.00,-0.05,nan,0.00
1.53,1.00,0.00,0.79,1.00,0.05,0.96,-0.05,nan,0.00
1.53,1.00,0.00,0.89,1.00,0.05,0.94,-0.25,nan,0.00
1.53,1.00,0.00,1.00,1.00,0.05,0.95,-0.35,1.00,-10.00
1.53,1.00,0.11,-1.00,1.00,0.05,1.00,-1.86,nan,0.00
1.53,1.00,0.11,-0.89,1.00,0.05,1.00,-1.56,nan,0.00
1.53,1.00,0.11,-0.79,1.00,0.05,1.00,-4.67,nan,0.00
1.53,1.00,0.11,-0.68,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.11,-0.58,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.11,-0.47,1.00,-0.05,1.00,-1.86,nan,0.00
1.53,1.00,0.11,-0.37,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.11,-0.26,1.00,-0.05,1.00,-0.45,nan,0.00
1.53,1.00,0.11,-0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.11,-0.05,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.11,0.05,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.11,0.16,1.00,-0.15,nan,0.00,nan,0.00
1.53,1.00,0.11,0.26,1.00,0.05,0.96,0.05,nan,0.00
1.53,1.00,0.11,0.37,1.00,0.05,1.00,-0.15,nan,0.00
1.53,1.00,0.11,0.47,1.00,0.05,1.00,-0.25,nan,0.00
1.53,1.00,0.11,0.58,1.00,0.05,1.00,-0.05,nan,0.00
1.53,1.00,0.11,0.68,1.00,0.05,1.00,-0.05,nan,0.00
1.53,1.00,0.11,0.79,1.00,0.05,0.99,0.05,1.00,-10.00
1.53,1.00,0.11,0.89,1.00,0.05,0.96,-0.25,nan,0.00
1.53,1.00,0.11,1.00,1.00,0.05,0.99,-0.05,nan,0.00
1.53,1.00,0.22,-1.00,1.00,0.05,1.00,-1.36,nan,0.00
1.53,1.00,0.22,-0.89,1.00,0.15,1.00,-0.85,nan,0.00
1.53,1.00,0.22,-0.79,1.00,-0.05,1.00,-5.68,nan,0.00
1.53,1.00,0.22,-0.68,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.22,-0.58,1.00,0.05,1.00,-1.36,nan,0.00
1.53,1.00,0.22,-0.47,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.22,-0.37,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.22,-0.26,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.22,-0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.22,-0.05,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.22,0.05,1.00,-0.15,nan,0.00,nan,0.00
1.53,1.00,0.22,0.16,1.00,-0.05,nan,0.00,nan,0.00
1.53,1.00,0.22,0.26,1.00,0.05,1.00,0.05,nan,0.00
1.53,1.00,0.22,0.37,1.00,0.05,1.00,-0.05,nan,0.00
1.53,1.00,0.22,0.47,1.00,-0.05,0.98,-0.15,nan,0.00
1.53,1.00,0.22,0.58,1.00,0.05,1.00,-0.05,nan,0.00
1.53,1.00,0.22,0.68,1.00,0.05,1.00,-0.15,nan,0.00
1.53,1.00,0.22,0.79,1.00,0.05,0.99,-0.05,1.00,-10.00
1.53,1.00,0.22,0.89,1.00,0.05,0.97,-0.15,1.00,-10.00
1.53,1.00,0.22,1.00,1.00,0.05,0.97,0.05,1.00,-10.00
1.53,1.00,0.33,-1.00,0.99,0.05,1.00,-1.36,nan,0.00
1.53,1.00,0.33,-0.89,1.00,0.05,1.00,-1.36,nan,0.00
1.53,1.00,0.33,-0.79,1.00,0.05,1.00,-4.67,nan,0.00
1.53,1.00,0.33,-0.68,1.00,0.05,1.00,-0.85,nan,0.00
1.53,1.00,0.33,-0.58,1.00,0.05,1.00,-0.45,nan,0.00
