h,p,a,b,c,l
0.84,0.22,1.00,0.93,0.00,1.00
0.84,0.22,1.00,0.93,0.11,1.00
0.84,0.22,1.00,0.93,0.22,1.00
0.84,0.22,1.00,0.93,0.33,1.00
0.84,0.22,1.00,0.93,0.44,1.00
0.84,0.22,1.00,0.93,0.56,1.00
0.84,0.22,1.00,0.93,0.67,1.00
0.84,0.22,1.00,0.93,0.78,1.00
0.84,0.22,1.00,0.93,0.89,1.00
0.84,0.22,1.00,0.93,1.00,1.00
0.84,0.33,1.00,0.93,0.00,0.79
0.84,0.33,1.00,0.93,0.00,0.89
0.84,0.33,1.00,0.93,0.00,1.00
0.84,0.33,1.00,0.93,0.11,0.79
0.84,0.33,1.00,0.93,0.11,0.89
0.84,0.33,1.00,0.93,0.11,1.00
0.84,0.33,1.00,0.93,0.22,0.79
0.84,0.33,1.00,0.93,0.22,0.89
0.84,0.33,1.00,0.93,0.22,1.00
0.84,0.33,1.00,0.93,0.33,0.79
0.84,0.33,1.00,0.93,0.33,0.89
0.84,0.33,1.00,0.93,0.33,1.00
0.84,0.33,1.00,0.93,0.44,0.79
0.84,0.33,1.00,0.93,0.44,0.89
0.84,0.33,1.00,0.93,0.44,1.00
0.84,0.33,1.00,0.93,0.56,0.79
0.84,0.33,1.00,0.93,0.56,0.89
0.84,0.33,1.00,0.93,0.56,1.00
0.84,0.33,1.00,0.93,0.67,0.79
0.84,0.33,1.00,0.93,0.67,0.89
0.84,0.33,1.00,0.93,0.67,1.00
0.84,0.33,1.00,0.93,0.78,0.79
0.84,0.33,1.00,0.93,0.78,0.89
0.84,0.33,1.00,0.93,0.78,1.00
0.84,0.33,1.00,0.93,0.89,0.79
0.84,0.33,1.00,0.93,0.89,0.89
0.84,0.33,1.00,0.93,0.89,1.00
0.84,0.33,1.00,0.93,1.00,0.79
0.84,0.33,1.00,0.93,1.00,0.89
0.84,0.33,1.00,0.93,1.00,1.00
0.84,0.44,1.00,0.93,0.00,0.68
0.84,0.44,1.00,0.93,0.00,0.79
0.84,0.44,1.00,0.93,0.00,0.89
0.84,0.44,1.00,0.93,0.00,1.00
0.84,0.44,1.00,0.93,0.11,0.68
0.84,0.44,1.00,0.93,0.11,0.79
0.84,0.44,1.00,0.93,0.11,0.89
0.84,0.44,1.00,0.93,0.11,1.00
0.84,0.44,1.00,0.93,0.22,0.68
0.84,0.44,1.00,0.93,0.22,0.79
0.84,0.44,1.00,0.93,0.22,0.89
0.84,0.44,1.00,0.93,0.22,1.00
0.84,0.44,1.00,0.93,0.33,0.68
0.84,0.44,1.00,0.93,0.33,0.79
0.84,0.44,1.00,0.93,0.33,0.89
0.84,0.44,1.00,0.93,0.33,1.00
0.84,0.44,1.00,0.93,0.44,0.68
0.84,0.44,1.00,0.93,0.44,0.79
0.84,0.44,1.00,0.93,0.44,0.89
0.84,0.44,1.00,0.93,0.44,1.00
0.84,0.44,1.00,0.93,0.56,0.68
0.84,0.44,1.00,0.93,0.56,0.79
0.84,0.44,1.00,0.93,0.56,0.89
0.84,0.44,1.00,0.93,0.56,1.00
0.84,0.44,1.00,0.93,0.67,0.68
0.84,0.44,1.00,0.93,0.67,0.79
0.84,0.44,1.00,0.93,0.67,0.89
0.84,0.44,1.00,0.93,0.67,1.00
0.84,0.44,1.00,0.93,0.78,0.68
0.84,0.44,1.00,0.93,0.78,0.79
0.84,0.44,1.00,0.93,0.78,0.89
0.84,0.44,1.00,0.93,0.78,1.00
0.84,0.44,1.00,0.93,0.89,0.68
0.84,0.44,1.00,0.93,0.89,0.79
0.84,0.44,1.00,0.93,0.89,0.89
0.84,0.44,1.00,0.93,0.89,1.00
0.84,0.44,1.00,0.93,1.00,0.68
0.84,0.44,1.00,0.93,1.00,0.79
0.84,0.44,1.00,0.93,1.00,0.89
0.84,0.44,1.00,0.93,1.00,1.00
0.84,0.56,1.00,0.93,0.00,0.68
0.84,0.56,1.00,0.93,0.00,0.79
0.84,0.56,1.00,0.93,0.00,0.89
0.84,0.56,1.00,0.93,0.00,1.00
0.84,0.56,1.00,0.93,0.11,0.68
0.84,0.56,1.00,0.93,0.11,0.79
0.84,0.56,1.00,0.93,0.11,0.89
0.84,0.56,1.00,0.93,0.11,1.00
0.84,0.56,1.00,0.93,0.22,0.68
0.84,0.56,1.00,0.93,0.22,0.79
0.84,0.56,1.00,0.93,0.22,0.89
0.84,0.56,1.00,0.93,0.22,1.00
0.84,0.56,1.00,0.93,0.33,0.68
0.84,0.56,1.00,0.93,0.33,0.79
0.84,0.56,1.00,0.93,0.33,0.89
0.84,0.56,1.00,0.93,0.33,1.00
0.84,0.56,1.00,0.93,0.44,0.68
0.84,0.56,1.00,0.93,0.44,0.79
0.84,0.56,1.00,0.93,0.44,0.89
0.84,0.56,1.00,0.93,0.44,1.00
0.84,0.56,1.00,0.93,0.56,0.68
0.84,0.56,1.00,0.93,0.56,0.79
0.84,0.56,1.00,0.93,0.56,0.89
0.84,0.56,1.00,0.93,0.56,1.00
0.84,0.56,1.00,0.93,0.67,0.68
0.84,0.56,1.00,0.93,0.67,0.79
0.84,0.56,1.00,0.93,0.67,0.89
0.84,0.56,1.00,0.93,0.67,1.00
0.84,0.56,1.00,0.93,0.78,0.68
0.84,0.56,1.00,0.93,0.78,0.79
0.84,0.56,1.00,0.93,0.78,0.89
0.84,0.56,1.00,0.93,0.78,1.00
0.84,0.56,1.00,0.93,0.89,0.68
0.84,0.56,1.00,0.93,0.89,0.79
0.84,0.56,1.00,0.93,0.89,0.89
0.84,0.56,1.00,0.93,0.89,1.00
0.84,0.56,1.00,0.93,1.00,0.68
0.84,0.56,1.00,0.93,1.00,0.79
0.84,0.56,1.00,0.93,1.00,0.89
0.84,0.56,1.00,0.93,1.00,1.00
0.84,0.67,1.00,0.93,0.00,0.79
